Org,Site ID,Name in EC,Latitude,Longitude,Watercourse (if known),"Catchment (or ""tbc"")"
CPRE,CPRE113,"CPRE113: Garron Brook, Langstone Court",51.923664,-2.698109,Garren,Gamber Bk - source to conf Garren Bk
CPRE,CPRE118,CPRE118: Llanwarne,51.95138,-2.720857,Gamber,Gamber Bk - source to conf Garren Bk
CPRE,CPRE120,CPRE120: Skenfrith Monnow Bridge,51.877861,-2.788591,Monnow,Monnow - conf Afon Honddu to conf R Wye
CPRE,CPRE121,CPRE121: Minnow Tributary at Trewaddock,51.903126,-2.812102,Minnow Tributary,Monnow - conf Afon Honddu to conf R Wye
CPRE,CPRE122,CPRE122: Garren at Garrendale,51.930495,-2.799755,Garren,Garren Bk - source to conf Gamber Bk
CPRE,CPRE123,CPRE123: Marlas Brook,51.930479,-2.799908,Misc,Garren Bk - source to conf Gamber Bk
CPRE,CPRE124,CPRE124: Garren at Green Farm,51.933802,-2.765267,Garren,Garren Bk - source to conf Gamber Bk
CPRE,CPRE125,CPRE125: Garron at Gallys Bridge,51.9137,-2.754971,Garren,Garren Bk - source to conf Gamber Bk
CPRE,CPRE126,CPRE126: Furnace Bridge,51.906148,-2.739869,Garren,Garren Bk - source to conf Gamber Bk
CPRE,CPRE127,CPRE127: Near Scotland Barn,51.903164,-2.751721,Misc,Garren Bk - source to conf Gamber Bk
CPRE,CPRE129,CPRE129: Sellack Church Brook,51.94545,-2.633025,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE130,CPRE130: New Harp Inn. Wriggle Brook,51.95989,-2.663056,Wriggle Brook,Wriggle Bk - source to conf R Wye
CPRE,CPRE131,CPRE131: Cottage of Content Carey,51.97635,-2.63757,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE132,CPRE132: The Ford lower Witherstone,51.981981,-2.645859,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE133,CPRE133: Aconbury Court,51.998663,-2.702031,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE134,CPRE134: Wrigglebrook near New Mills Farm,51.966984,-2.693017,Wriggle Brook,Wriggle Bk - source to conf R Wye
CPRE,CPRE135,"CPRE135: Norton Brook, Farm near Callow",52.017037,-2.723575,Norton Brook [Hereford],Norton Bk - source to conf R Wye
CPRE,CPRE136,"CPRE136: Withy Brook, Bullinghope",52.032234,-2.714272,Withy Brook,Norton Bk - source to conf R Wye
CPRE,CPRE137,"CPRE137: Cage Brook, Ruckhall Mill",52.045726,-2.800292,Cage Brook,Cage Bk - source to conf R Wye
CPRE,CPRE138,"CPRE138: Cage Brook, Millville Ford",52.033288,-2.817243,Cage Brook,Cage Bk - source to conf R Wye
CPRE,CPRE140,CPRE140: Bage Mill Trin,52.052825,-2.854315,Misc,Wye - Bredwardine Br to Hampton Bishop
CPRE,CPRE141,"CPRE141: Worm Brook, kivernoll",51.990869,-2.775535,Worm Brook,Worm Bk - source to confl R Dore
CPRE,CPRE142,CPRE142: Trib worm Brook,51.990688,-2.775538,Worm Brook,Worm Bk - source to confl R Dore
CPRE,CPRE144,CPRE144: Sellack Bridge,51.92603,-2.62765,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE148,"CPRE148: Castle brook, near Walford church",51.881724,-2.600382,Castle Brook,Walford Bk - source to conf R Wye
CPRE,CPRE149,"CPRE149: Bailey Brook, Hope Mansel",51.876568,-2.547301,Bailey Brook,Walford Bk - source to conf R Wye
CPRE,CPRE150,"CPRE150: Bailey Brook, parkfields",51.892884,-2.539815,Bailey Brook,Walford Bk - source to conf R Wye
CPRE,CPRE151,CPRE151: Pontshill,51.895973,-2.526593,Bailey Brook,Walford Bk - source to conf R Wye
CPRE,CPRE152,CPRE152: Netherton brook,51.928404,-2.578819,Netherton Brook,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE153,"CPRE153: Wells Brook, Bridstow",51.919727,-2.61236,Wells Brook,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE154,CPRE154: Bridge on Monnow Kentchurch,51.920786,-2.846273,Monnow,Monnow - conf Afon Honddu to conf R Wye
CPRE,CPRE155,CPRE155: Bridge at Kentchurch church,51.92607,-2.845081,Misc,Monnow - conf Afon Honddu to conf R Wye
CPRE,CPRE157,CPRE157: Wrigglebrook The Oaks,51.967282,-2.678666,Wriggle Brook,Wriggle Bk - source to conf R Wye
CPRE,CPRE158,"CPRE158: Redbrook, Hoarwithy",51.958483,-2.663206,Red Brook,Wriggle Bk - source to conf R Wye
CPRE,CPRE160,"CPRE160: Mally Brook, Welsh Newton downstream Pembridge House",51.94534,-2.677966,Mally Brook,Wriggle Bk - source to conf R Wye
CPRE,CPRE161,"CPRE161: Mally Brook, Bridge Welsh Newton",51.858007,-2.728926,Mally Brook,Wye - conf Walford Bk to Bigsweir Br
CPRE,CPRE164,"CPRE164: The Old Post Office, Mordiford",52.032905,-2.628166,Pentaloe Brook,Pentaloe Bk - source to conf R Wye
CPRE,CPRE165,"CPRE165: Pentaloe Brook, a a wood, Nr Woolhope.",52.03803,-2.56837,Pentaloe Brook,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE166,CPRE166: Perryfield Sollers Hope,51.99227,-2.565355,Misc,How Caple Bk - source to conf R Wye
CPRE,CPRE167,"CPRE167: Common Hill Lane, Fownhope.",52.006746,-2.60963,Common Hill Lane,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE168,"CPRE168: Upton Brook, Middleton on the hill",52.277121,-2.67271,Upton Brook,[Teme east area]
CPRE,CPRE169,"CPRE169: Upton Brook, Nurton Court Drive",52.281113,-2.66982,Upton Brook,[Teme east area]
CPRE,CPRE170,CPRE170: Ford Farm Brook,52.28097,-2.666503,Misc,[Teme east area]
